caliber,club,date,height,league,meta,person,place,position,positon,source,throws,type,weight,first,give,given,last,matrilineal,nick,nickname,suffix
,Jacksonville,1915,,South Atlantic League,,morris/KBVJYPF,,1B,,morris/1915SouthAtlantic/CharlestonPos/1,,player,,Hugh,,,Hill,,,,
,Rockford,1920,,Illinois-Indiana-Iowa League,,blau/CTBQTCW,,,,blau/blau-20170115,,player,,William,,,Hill,,,,
,Joplin,1921,,Western League,,blau/CTBQTCW,,,,blau/blau-20170115,,player,,William,,,Hill,,,,
,Jacksonville,1915,,South Atlantic League,,morris/GKFSBQL,,1B,,morris/1915SouthAtlantic/ColumbiaState/152,,player,,,,,Hill,,,,
,Scranton,1917,,New York State League,,blau/KNBLXTK,,,,blau/blau-20170521,,player,,Hob,,,Hiller,,,,
,Columbia,1917,,South Atlantic League,,blau/KNBLXTK,,,,blau/blau-20170521,,player,,Hob,,,Hiller,,,,
,Petersburg,1919,,Virginia League,,blau/BFZNZSW,,,,blau/blau-20161225,,player,,Hob,,,Hiller,,,,
,Superior,1913,,Northern League,,blau/MVXMCYH,,,,blau/blau-20180521,,player,,Leslie,,,Hilliker,,,,
,Winona,1913,,Northern League,,blau/MVXMCYH,,,,blau/blau-20180521,,player,,Leslie,,,Hilliker,,,,
,Keokuk,1913,,Central Association,,blau/ZSZFLZG,,,,blau/blau-20180331,,player,,Pat,,,Hilly,,,,
,Pittsfield,1914,,Eastern Association,,blau/ZSZFLZG,,,,blau/blau-20180331,,player,,Pat,,,Hilly,,,,
,Bridgeport,1909,,Connecticut State League,,blau/SLQHTRS,,,,blau/blau-20170115,,player,,Frank,,,Hilt,,,,
,Danville,1931,,Illinois-Indiana-Iowa League,,blau/MYPJMCG,,,,blau/blau-20180715,,player,,Bill,,,Hinchman,,,,
,Jersey City,1931,,International League,,blau/MYPJMCG,,,,blau/blau-20180715,,player,,Bill,,,Hinchman,,,,
,Houston,1931,,Texas League,,blau/MYPJMCG,,,,blau/blau-20180715,,player,,Bill,,,Hinchman,,,,
,Johnstown/Chester,1912,,Tri-State League,,blau/ZWDNYWW,,,,blau/blau-20170115,,player,,Albert,,,Hine,,,,
,Norfolk,1913,,Virginia League,,blau/ZWDNYWW,,,,blau/blau-20170115,,player,,Albert,,,Hine,,,,
,Des Moines,1901,,Western League,,blau/RDWWQST,,,,blau/blau-20170115,,manager,,Hunkey,,,Hines,,,,
,Dubuque,1904,,Illinois-Indiana-Iowa League,,blau/JSYJJTT,,,,blau/blau-20170129,,manager,,Hunkey,,,Hines,,,,
,Vancouver,1920,,Pacific Coast International League,,blau/PFJJQLR,,,,blau/blau-20161225,,player,,C.,,,Hinkle,,Moose,,
,Brigham City,1921,,Northern Utah League,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,Logan,1921,,Northern Utah League,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,Logan,1921,,Northern Utah League,,blau/QDRFBFC,,,,blau/blau-20170521,,manager,,Matt,,,Hinkle,,Hippo,,
,Fort Smith,1922,,Western Association,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,Joplin,1922,,Western Association,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,Enid,1923,,Western Association,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,Denver,1923,,Western League,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,Grand Island,1924,,Tri-State League,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,Denver,1924,,Western League,,blau/QDRFBFC,,,,blau/blau-20170521,,player,,Matt,,,Hinkle,,Hippo,,
,High Point,1927,,Piedmont League,,blau/KWRNSZM,,,,blau/blau-20170521,,player,,,,,Hinkle,,,,
,Topeka,1927,,Western Association,,blau/WPGPFDR,,,,blau/blau-20170521,,player,,,,,Hinkle,,,,
,Springfield,1905,,Central League,,blau/RRRKGRG,,,,blau/blau-20170115,,player,,Arthur,,,Hippert,,,,
,Cedar Rapids,1909,,Illinois-Indiana-Iowa League,,blau/RRRKGRG,,,,blau/blau-20170115,,player,,Arthur,,,Hippert,,,,
,Cleveland,1915,,American League,,morris/YVVYNXG,,,,morris/1915SouthAtlantic/BuffaloEveningNews/1,,player,,Ed,,,Hitchcock,,,,
,Albany,1915,,South Atlantic League,,morris/DWXMNSB,,p,,morris/1915SouthAtlantic/ColumbiaState/280,,player,,,,,Hitchcock,,,,
,Mobile,1909,,Southern Association,,blau/JDNGNXK,,,,blau/blau-20170115,,player,,Loren,,,Hixon,,,,
,Indianapolis,1910,,American Association,,blau/JDNGNXK,,,,blau/blau-20170115,,player,,Loren,,,Hixon,,,,
,Charlotte,1915,,North Carolina State League,,morris/JVJTPFZ,,C,,morris/1911CarolinaAssociation/CharlotteObserver/29,,player,,W. A.,,,Hoberg,,,,
,Charlotte,1915,,North Carolina State League,,morris/FDHLJPC,,C,,morris/1915NorthCarolinaState/CharlotteObserver/29,,player,,W. A.,,,Hoberg,,,,
,Charlotte,1915,,North Carolina State League,,morris/VDXVJJW,,C,,morris/1915NorthCarolinaState/CharlotteNews/5,,player,,William,,,Hoberg,,,,
,Talladega,1914,,Georgia-Alabama League,,morris/TYDBVVF,,,,morris/1915SouthAtlantic/ColumbiaState/168,,player,,Red,,,Hodge,,,,
,Albany,1915,,South Atlantic League,,morris/TYDBVVF,,ss,,morris/1915SouthAtlantic/ColumbiaState/168,,player,,Red,,,Hodge,,,,
,Americus,1914,,Georgia State League,,blau/BMXRCKX,,,,blau/blau-20180715,,player,,,,,Hodge,,,,
,Dothan,1915,,Florida-Alabama-Georgia League,,blau/BMXRCKX,,,,blau/blau-20180715,,player,,,,,Hodge,,,,
,Springfield,1921,,Western Association,,blau/FDDNTVR,,,,blau/blau-20161225,,player,,Byrd,,,Hodges,,,,
,Hopkinsville,1914,,Kentucky-Illinois-Tennessee League,,blau/JKMGLRH,,,,blau/blau-20180826,,player,,Red,,,Hodges,,,,
,Rock Island,1922,,Mississippi Valley League,,blau/WXMPFPF,,,,blau/blau-20170219,,player,,Emil,,,Hoeft,,,,
,Oklahoma City,1932,,Western League,,blau/DJCPBWB,,,,blau/blau-20171030,,player,,Ralph,,Ralph,Hoener,,,,
,Columbia,1912,,South Atlantic League,,morris/GNRXZPF,,1B,,morris/1915SouthAtlantic/ColumbiaState/295,,player,,Jack,,,Hoey,,,,
,Hartford,1913,,Eastern Association,,blau/SMDHYRN,,,,blau/blau-20180331,,player,,Jack,,,Hoey,,,,
,Meriden,1913,,Eastern Association,,blau/SMDHYRN,,,,blau/blau-20180331,,player,,Jack,,,Hoey,,,,
,Waterbury,1913,,Eastern Association,,blau/SMDHYRN,,,,blau/blau-20180331,,player,,Jack,,,Hoey,,,,
,Charleston,1913,,South Atlantic League,,morris/GNRXZPF,,,,morris/1915SouthAtlantic/ColumbiaState/295,,player,,Jack,,,Hoey,,,,
,Kinston,1927,,Virginia League,,blau/YTSRPHL,,,,blau/blau-20170521,,player,,Arthur,,,Hoffman,,,,
,Dayton,1928,,Central League,,blau/YTSRPHL,,,,blau/blau-20170521,,player,,Arthur,,,Hoffman,,,,
,Fort Wayne,1928,,Central League,,blau/YTSRPHL,,,,blau/blau-20170521,,player,,Arthur,,,Hoffman,,,,
,Dormont,1929,,Inter-County Semi-pro League,,blau/YTSRPHL,,,,blau/blau-20170521,,player,,Arthur,,,Hoffman,,,,
,Duluth,1911,,Minnesota-Wisconsin League,,morris/HBVMHSX,,P,,morris/1915Northern/GrandForksDailyHerald/98,,player,,Artie,,,Hoffman,,,,
,Duluth,1912,,Minnesota-Wisconsin League,,morris/HBVMHSX,,P,,morris/1915Northern/GrandForksDailyHerald/98,,player,,Artie,,,Hoffman,,,,
,Oshkosh,1912,,Wisconsin-Illinois League,,morris/HBVMHSX,,P,,morris/1915Northern/GrandForksDailyHerald/98,,player,,Artie,,,Hoffman,,,,
,Oshkosh,1913,,Wisconsin-Illinois League,,morris/HBVMHSX,,P,,morris/1915Northern/GrandForksDailyHerald/98,,player,,Artie,,,Hoffman,,,,
,Oshkosh,1914,,Wisconsin-Illinois League,,morris/HBVMHSX,,P,,morris/1915Northern/GrandForksDailyHerald/98,,player,,Artie,,,Hoffman,,,,
,Duluth,1915,,Northern League,,morris/HBVMHSX,,P,,morris/1915Northern/GrandForksDailyHerald/98,,player,,Artie,,,Hoffman,,,,
,Grand Forks,1915,,Northern League,,morris/HBVMHSX,,P,,morris/1915Northern/GrandForksDailyHerald/98,,player,,Artie,,,Hoffman,,,,
,New York,1907,,American League,,blau/PQYZBQW,,,,blau/blau-20170219,,player,,Danny,,,Hoffman,,,,
,Bridgeport,1916,,Eastern League,,blau/PQYZBQW,,,,blau/blau-20170219,,player,,Danny,,,Hoffman,,,,
,Oshkosh,1913,,Wisconsin-Illinois League,,blau/VWRJYXG,,,,blau/blau-20170115,,player,,Frank,,,Hoffman,,,,
,Racine,1915,,Bi-State League,,morris/MXJYJRP,,P,,morris/1915Northern/GrandForksDailyHerald/84,,player,,Frank,,,Hoffman,,,,
,Duluth,1915,,Northern League,,morris/MXJYJRP,,P,,morris/1915Northern/GrandForksDailyHerald/84,,player,,Frank,,,Hoffman,,,,
,Lynchburg,1910,,Virginia League,,blau/CSHNRMP,,,,blau/blau-20170625,,player,,Harry,,,Hoffman,,,,
,Danville,1911,,Virginia League,,blau/CSHNRMP,,,,blau/blau-20170625,,player,,Harry,,,Hoffman,,,,
,Macon,1904,,South Atlantic League,,blau/JPQZHXN,,,,blau/blau-20161225,,player,,Henry,,,Hoffman,,,,
,Alexandria,1907,,Gulf Coast League,,blau/JPQZHXN,,,,blau/blau-20161225,,player,,Henry,,,Hoffman,,,,
,Alexandria,1908,,Gulf Coast League,,blau/JPQZHXN,,,,blau/blau-20161225,,player,,Henry,,,Hoffman,,,,
,Charleston,1914,,Ohio State League,,morris/YBBNGLT,,,,morris/1915Buckeye/MarionStar/2,,player,,Lawrence,,,Hoffman,,,,
,Marion,1915,,Buckeye League,,morris/YBBNGLT,,P,,morris/1915Buckeye/MarionStar/2,,player,,Lawrence,,,Hoffman,,,,
,Chambersburg,1930,,Blue Ridge League,,blau/YCFYMXG,,,,blau/blau-20171030,,player,,Colbert,,,Hogan,,,,
,Kansas City,1914,,Federal League,,blau/CBBLDXR,,,,blau/blau-20170115,,player,,George,,,Hogan,,,,
,Des Moines,1914,,Western League,,blau/CBBLDXR,,,,blau/blau-20170115,,player,,George,,,Hogan,,,,
,Danbury,1914,,Atlantic League,,blau/FGJRDJJ,,,,blau/blau-20180521,,player,,Hal,,,Hogan,,Hap,,
,Sioux City,1914,,Western League,,blau/FGJRDJJ,,,,blau/blau-20180521,,player,,Hal,,,Hogan,,Hap,,
,Cleveland,1923,,American League,,blau/KJNMSLF,,,,blau/blau-20171001,,player,,Kenneth,,,Hogan,,,,
,Hastings,1923,,Nebraska State League,,blau/KJNMSLF,,,,blau/blau-20171001,,player,,Kenneth,,,Hogan,,,,
,Cleveland,1923,,American League,,blau/KDLVGZP,,,,blau/blau-20170521,,player,,Kenny,,,Hogan,,,,
,Hastings,1923,,Nebraska State League,,blau/KDLVGZP,,,,blau/blau-20170521,,player,,Kenny,,,Hogan,,,,
,Asheville,1924,,South Atlantic League,,blau/KDLVGZP,,,,blau/blau-20170521,,player,,Kenny,,,Hogan,,,,
,West Palm Beach,1928,,Florida State League,,blau/NNXZSMC,,,,blau/blau-20170521,,player,,Mike,,,Hogan,,,,
,Minneapolis,1913,,American Association,,morris/HSYGQRZ,,P,,morris/1915Northern/WinnipegTribune/73,,player,,Ira,,,Hogue,,,,
,Chicago,1913,,Federal League,,morris/HSYGQRZ,,P,,morris/1915Northern/WinnipegTribune/73,,player,,Ira,,,Hogue,,,,
,Minneapolis,1914,,American Association,,morris/YHTSNVT,,,,morris/1915Northern/GrandForksDailyHerald/96,,player,,Ira,,,Hogue,,,,
,Minneapolis,1914,,American Association,,morris/HSYGQRZ,,P,,morris/1915Northern/WinnipegTribune/73,,player,,Ira,,,Hogue,,,,
,Minneapolis,1915,,American Association,,morris/YHTSNVT,,,,morris/1915Northern/GrandForksDailyHerald/96,,player,,Ira,,,Hogue,,,,
,Minneapolis,1915,,American Association,,morris/HSYGQRZ,,P,,morris/1915Northern/WinnipegTribune/73,,player,,Ira,,,Hogue,,,,
,Grand Forks,1915,,Northern League,,morris/YHTSNVT,,P,,morris/1915Northern/GrandForksDailyHerald/96,,player,,Ira,,,Hogue,,,,
,Winnipeg,1915,,Northern League,,morris/HSYGQRZ,,P,,morris/1915Northern/WinnipegTribune/73,,player,,Ira,,,Hogue,,,,
,Rock Island,1922,,Mississippi Valley League,,blau/KVDDMKK,,,,blau/blau-20170219,,player,,Sam,,,Holden,,,,
,Marion,1915,,Buckeye League,,morris/HTYKPNM,,C,,morris/1915Buckeye/LimaNews/23,,player,,,,,Holden,,,,
,Mayfield,1922,,Kentucky-Illinois-Tennessee League,,blau/CKRXLNT,,,,blau/blau-20170521,,player,,Omer,,,Holder,,Brownie,,
,Mayfield,1923,,Kentucky-Illinois-Tennessee League,,blau/CKRXLNT,,,,blau/blau-20170521,,player,,Omer,,,Holder,,Brownie,,
,Meridian,1925,,Cotton States League,,blau/CKRXLNT,,,,blau/blau-20170521,,player,,Omer,,,Holder,,Brownie,,
,Sarasota,1927,,Florida State League,,blau/CKRXLNT,,,,blau/blau-20170521,,player,,Omer,,,Holder,,Brownie,,
,West Palm Beach,1928,,Florida State League,,blau/CKRXLNT,,,,blau/blau-20170521,,player,,Omer,,,Holder,,Brownie,,
,Brookhaven,1925,,Cotton States League,,blau/HJDJQVW,,,,blau/blau-20170521,,player,,,,,Holder,,,,
,Scranton,1925,,New York-Pennsylvania League,,blau/GKJWLRH,,,,blau/blau-20180826,,player,,Ralph,,,Holke,,,,
,Scranton,1925,,New York-Pennsylvania League,,blau/GNLKCCB,,,,blau/blau-20170101,,player,,,,,Holke,,,,
,LaGrange,1914,,Georgia-Alabama League,,morris/HPSJLFG,,,,morris/1915SouthAtlantic/ColumbiaState/165,,player,,Harry,,,Holland,,,,
,Atlanta,1914,,Southern Association,,blau/DZGLKVY,,,,blau/blau-20180331,,player,,Harry,,,Holland,,,,
,Albany,1915,,South Atlantic League,,morris/HPSJLFG,,2B,,morris/1915SouthAtlantic/ColumbiaState/165,,player,,Harry,,,Holland,,,,
,Minneapolis,1917,,American Association,,blau/CDCQLRR,,,,blau/blau-20170521,,player,,Harry,,,Holland,,,,
,Janesville,1921,,Iron Range League,,blau/CDCQLRR,,,,blau/blau-20170521,,player,,Harry,,,Holland,,,,
,Asheville,1924,,South Atlantic League,,blau/CDCQLRR,,,,blau/blau-20170521,,player,,Harry,,,Holland,,,,
,Asheville,1924,,South Atlantic League,,blau/WWDYJSC,,,,blau/blau-20170731,,player,,Harry,,,Holland,,,,
,Roanoke,1911,,Virginia League,,blau/BPWPGHG,,,,blau/blau-20170129,,player,,Joe,,,Holland,,,,
,Asheville,1913,,North Carolina State League,,blau/BPWPGHG,,,,blau/blau-20170129,,player,,Joe,,,Holland,,,,
,Columbia,1914,,South Atlantic League,,blau/BPWPGHG,,,,blau/blau-20170129,,player,,Joe,,,Holland,,,,
,Portsmouth,1914,,Virginia League,,blau/BPWPGHG,,,,blau/blau-20170129,,player,,Joe,,,Holland,,,,
,Fairmont,1928,,Middle Atlantic League,,blau/JHSPKHB,,,,blau/blau-20170521,,player,,Orell,,,Holland,,Apples,,
,Baltimore,1929,,International League,,blau/JHSPKHB,,,,blau/blau-20170521,,player,,Orell,,,Holland,,Apples,,
,Columbia,1929,,South Atlantic League,,blau/JHSPKHB,,,,blau/blau-20170521,,player,,Orell,,,Holland,,Apples,,
,Charlotte,1930,,South Atlantic League,,blau/JHSPKHB,,,,blau/blau-20170521,,player,,Orell,,,Holland,,Apples,,
,LaGrange,1914,,Georgia-Alabama League,,morris/HPSJLFG,,,,morris/1915SouthAtlantic/ColumbiaState/165,,player,,Sid,,,Holland,,,,
,Albany,1915,,South Atlantic League,,morris/HPSJLFG,,2B,,morris/1915SouthAtlantic/ColumbiaState/165,,player,,Sid,,,Holland,,,,
,Decatur,1914,,Illinois-Indiana-Iowa League,,blau/QZTFGQY,,,,blau/blau-20170115,,player,,Tom,,,Holland,,,,
,Quincy,1914,,Illinois-Indiana-Iowa League,,blau/XXYWTRH,,,,blau/blau-20180331,,player,,Tom,,,Holland,,,,
,Paragould,1910,,Northeast Arkansas League,,blau/YWXKDJK,,,,blau/blau-20180715,,player,,,,,Holland,,,,
,Akron,1915,,Buckeye League,,morris/TLTPFFK,,,,morris/1915Buckeye/AkronEveningTimes/3,,player,,,,,Holler,,,,
,Medicine Hat,1907,,Western Canada League,,blau/WTNVZQD,,,,blau/blau-20170521,,player,,George,,,Hollis,,,,
,Detroit,1922,,American League,,blau/GRBWMSQ,,,,blau/blau-20170521,,player,,Ken,,,Holloway,,,,
,Augusta,1922,,South Atlantic League,,blau/GRBWMSQ,,,,blau/blau-20170521,,player,,Ken,,,Holloway,,,,
,Sioux City/St. Joseph,1917,,Western League,,blau/THVJLWP,,,,blau/blau-20170108,,player,,Ed,,,Holly,,,,
,Ottumwa,1913,,Central Association,,blau/FDGSWXG,,,,blau/blau-20180331,,player,,Fred,,,Holly,,,,
,Ottumwa,1914,,Central Association,,blau/FDGSWXG,,,,blau/blau-20180331,,player,,Fred,,,Holly,,,,
,Grand Rapids,1912,,Central League,,blau/RBBYPVL,,,,blau/blau-20170115,,player,,Ducky,,,Holmes,,,,
,Saginaw,1913,,Southern Michigan League,,blau/RBBYPVL,,,,blau/blau-20170115,,player,,Ducky,,,Holmes,,,,
,Saginaw,1914,,Southern Michigan League,,blau/RBBYPVL,,,,blau/blau-20170115,,player,,Ducky,,,Holmes,,,,
,Newark,1913,,International League,,blau/RRCNXHY,,,,blau/blau-20180521,,player,,Jim,,,Holmes,,,,
,Memphis,1914,,Southern Association,,blau/RRCNXHY,,,,blau/blau-20180521,,player,,Jim,,,Holmes,,,,
,Topeka,1931,,Western League,,blau/RWDPWFS,,,,blau/blau-20171030,,player,,Leonard,,,Holmes,,,,
,Wichita,1932,,Western League,,blau/RWDPWFS,,,,blau/blau-20171030,,player,,Leonard,,,Holmes,,,,
,Watsonville,1913,,California League,,blau/CNFMHRV,,,,blau/blau-20170521,,player,,Dutch,,,Holstrum,,,,
,Waterloo,1914,,Central Association,,blau/SXFCZDW,,,,blau/blau-20180715,,player,,,,,Holzhauser,,,,
,Ottawa,1914,,Illinois-Missouri League,,blau/SXFCZDW,,,,blau/blau-20180715,,player,,,,,Holzhauser,,,,
,Caruthersville,1910,,Northeast Arkansas League,,blau/WJLHSCX,,,,blau/blau-20180715,,player,,,,,Homer,,,,
,Flint,1920,,Michigan-Ontario League,,blau/CFFFFWV,,,,blau/blau-20171030,,player,,Al,,,Honeck,,,,
,Akron,1928,,Central League,,blau/KQMPVCL,,,,blau/blau-20170115,,player,,Meredith,,,Honeyman,,,,
,Streator,1914,,Illinois-Missouri League,,morris/YBFMXVX,,P,,morris/1915Buckeye/CoshoctonMorningTribune/1,,player,,Ernest,,,Hook,,,,
,Akron,1915,,Buckeye League,,morris/YBFMXVX,,P,,morris/1915Buckeye/CoshoctonMorningTribune/1,,player,,Ernest,,,Hook,,,,
,Akron,1915,,Buckeye League,,morris/VMJXSKY,,P,,morris/1915Buckeye/AkronEveningTimes/11,,player,,,,,Hook,,,,
,Cadillac,1914,,Michigan State League,,blau/TZTZKQP,,,,blau/blau-20180826,,player,,Hap,,,Hoolihan,,,,
,Columbia,1915,,South Atlantic League,,morris/YBLSWTX,,1B,,morris/1915SouthAtlantic/ColumbiaState/53,,player,,L. E.,,,Hooper,,,,
,Fargo-Moorhead,1915,,Northern League,,morris/DKQYXPZ,,SS,,morris/1915Northern/GrandForksDailyHerald/76,,player,,,,,Hooper,,,,
,Columbia,1915,,South Atlantic League,,morris/BLRZHGT,,1B,,morris/1915SouthAtlantic/ColumbiaState/19,,player,,,,,Hooper,,,,
,Columbia,1915,,South Atlantic League,,morris/GRJFMKQ,,,,morris/1915SouthAtlantic/ColumbiaState/119,,player,,,,,Hooper,,,,
,Nazareth,1949,,North Atlantic League,,blau/TSSLBFK,,,,blau/blau-20170122,,player,,Don,,,Hoover,,,,
,Springfield,1920,,Western Association,,blau/MCKQGQF,,,,blau/blau-20161225,,player,,John,,,Hoover,,,,
,Springfield,1920,,Western Association,,blau/JPJRWDB,,,,blau/blau-20171223,,player,,,,,Hoover,,Lefty,,
,Springfield,1921,,Western Association,,blau/JPJRWDB,,,,blau/blau-20171223,,player,,,,,Hoover,,Lefty,,
,Bartlett,1914,,Middle Texas League,,blau/ZHSFMZR,,,,blau/blau-20180826,,player,,J.W.,,,Hopkins,,,,
,Lampasas,1914,,Middle Texas League,,blau/ZHSFMZR,,,,blau/blau-20180826,,player,,J.W.,,,Hopkins,,,,
,Norfolk,1914,,Virginia League,,blau/MPJCLYK,,,,blau/blau-20170129,,player,,Sis,,,Hopkins,,,,
,Portsmouth,1915,,Virginia League,,blau/MPJCLYK,,,,blau/blau-20170129,,player,,Sis,,,Hopkins,,,,
,Decatur,1911,,Illinois-Indiana-Iowa League,,blau/WTFBSHY,,,,blau/blau-20170115,,player,,Bill,,,Hopper,,,,
,Pekin,1911,,Illinois-Missouri League,,blau/WTFBSHY,,,,blau/blau-20170115,,player,,Bill,,,Hopper,,,,
,New Haven,1912,,California League,,blau/WTFBSHY,,,,blau/blau-20170115,,player,,Bill,,,Hopper,,,,
,Memphis,1912,,Southern Association,,blau/WTFBSHY,,,,blau/blau-20170115,,player,,Bill,,,Hopper,,,,
,Sioux Falls,1934,,Nebraska State League,,blau/VNMNFLL,,,,blau/blau-20170521,,player,,Jimmy,,,Horio,,,,
,Sacramento,1935,,Pacific Coast League,,blau/VNMNFLL,,,,blau/blau-20170521,,player,,Jimmy,,,Horio,,,,
,Bay City,1911,,Southwest Texas League,,blau/HCGRCMW,,,,blau/blau-20170115,,player,,Clifford Bernard,,Clifford Bernard,Hornbach,,,,
,Brownsville,1911,,Southwest Texas League,,blau/HCGRCMW,,,,blau/blau-20170115,,player,,Clifford Bernard,,Clifford Bernard,Hornbach,,,,
,Wellsville,1914,,Interstate League,,blau/PPRJCVW,,,,blau/blau-20180715,,player,,Frank,,,Horne,,,,
,Jamestown,1915,,Interstate League,,blau/PPRJCVW,,,,blau/blau-20180715,,player,,Frank,,,Horne,,,,
,Sioux Falls,1942,,Northern League,,blau/YRBCJKV,,,,blau/blau-20180826,,player,,Ross,,,Horning,,Bump,,
,Allentown,1912,,Tri-State League,,blau/MXLKHQZ,,,,blau/blau-20170108,,player,,Hanson,,,Horsey,,,,
,Reading,1912,,Tri-State League,,blau/MXLKHQZ,,,,blau/blau-20170108,,player,,Hanson,,,Horsey,,,,
,Los Angeles,1915,,Pacific Coast League,,morris/WNVQNDR,,,,morris/1915RioGrandeValley/ElPasoHerald/93,,player,,Oscar,,,Horstman,,,,
,Tucson,1915,,Rio Grande Association,,morris/WNVQNDR,,P,,morris/1915RioGrandeValley/ElPasoHerald/93,,player,,Oscar,,,Horstman,,,,
,Minneapolis,1915,,American Association,,morris/CMRQNHL,,P,,morris/1915Northern/GrandForksDailyHerald/81,,player,,Ralph,,,Horton,,,,
,Winnipeg,1915,,Northern League,,morris/CMRQNHL,,P,,morris/1915Northern/GrandForksDailyHerald/81,,player,,Ralph,,,Horton,,,,
,Winnipeg,1915,,Northern League,,morris/FZSPPFQ,,P,,morris/1915Northern/WinnipegTribune/53,,player,,Ralph,,,Horton,,,,
,Topeka,1931,,Western League,,blau/XYLHNPN,,,,blau/blau-20170521,,player,,Tank,,William,Horton,,,,
,Chattanooga,1932,,Southern Association,,blau/XYLHNPN,,,,blau/blau-20170521,,player,,Tank,,William,Horton,,,,
,Wichita,1932,,Western League,,blau/XYLHNPN,,,,blau/blau-20170521,,player,,Tank,,William,Horton,,,,
,Topeka,1931,,Western League,,blau/SVWTTHV,,,,blau/blau-20171030,,player,,,,,Horton,,Tank,,
,Wichita,1932,,Western League,,blau/SVWTTHV,,,,blau/blau-20171030,,player,,,,,Horton,,Tank,,
,Vernon,1911,,Pacific Coast League,,blau/NMGPQZZ,,,,blau/blau-20170115,,player,,Franz,,,Hosp,,,,
,Philadelphia,1914,,American League,,blau/WWBNDTH,,,,blau/blau-20170115,,player,,Byron,,,Houck,,,,
,New Haven,1915,,Colonial League,,blau/WWBNDTH,,,,blau/blau-20170115,,player,,Byron,,,Houck,,,,
,Pawtucket,1915,,Colonial League,,blau/WWBNDTH,,,,blau/blau-20170115,,player,,Byron,,,Houck,,,,
,Kansas City,1925,,American Association,,blau/QXMQBDN,,,,blau/blau-20170319,,player,,Don,,,Houck,,Specs,,
,Springfield,1925,,Western Association,,blau/QXMQBDN,,,,blau/blau-20170319,,player,,Don,,,Houck,,Specs,,
,Greensboro,1915,,North Carolina State League,,morris/TXVQXFY,,OF,,morris/1911CarolinaAssociation/CharlotteObserver/9,,player,,R.R.,,,Houck,,,,
,Greensboro,1915,,North Carolina State League,,morris/NPTCMTG,,OF,,morris/1915NorthCarolinaState/CharlotteObserver/9,,player,,R.R.,,,Houck,,,,
,Tacoma,1915,,Northwestern League,,blau/LQDZSML,,,,blau/blau-20170115,,player,,Howard,,,House,,,,
,Victoria,1915,,Northwestern League,,blau/LQDZSML,,,,blau/blau-20170115,,player,,Howard,,,House,,,,
,Moline,1926,,Mississippi Valley League,,blau/NGFRLTN,,,,blau/blau-20180331,,player,,Jimmy,,,House,,,,
,Mason City,1916,,Central Association,,morris/ZSLCSKL,,,,morris/General/1916DailyGateCity/5,,player,,Arthur,,Arthur Allen,Howell,,,,
,Greensboro,1915,,North Carolina State League,,morris/YDCGMGG,,OF,,morris/1911CarolinaAssociation/CharlotteObserver/10,,player,,Claude,,Claude C.,Howell,,,,
,Greensboro,1915,,North Carolina State League,,morris/XTVGYJD,,OF,,morris/1915NorthCarolinaState/CharlotteObserver/10,,player,,Claude,,Claude C.,Howell,,,,
,Greensboro,1915,,North Carolina State League,,morris/NBFFMSL,,IF,,morris/1911CarolinaAssociation/CharlotteObserver/18,,player,,James,,,Howell [Hewell],,,,
,Greensboro,1915,,North Carolina State League,,morris/KMHVWWQ,,IF,,morris/1915NorthCarolinaState/CharlotteObserver/18,,player,,James,,,Howell [Hewell],,,,
,Phoenix,1929,,Arizona State League,,blau/PLKJWBX,,,,blau/blau-20170319,,player,,George,,,Hubbell,,,,
,Aberdeen,1922,,Dakota League,,blau/TZDYJNQ,,,,blau/blau-20170521,,player,,,,,Huber,,Stub,,
,Fayetteville,1928,,Eastern Carolina League,,blau/QYFKVYJ,,,,blau/blau-20170416,,manager,,,,,Hubert,,Pooly,,
,Fayetteville,1928,,Eastern Carolina League,,blau/QYFKVYJ,,,,blau/blau-20170416,,player,,,,,Hubert,,Pooly,,
,Mobile,1914,,Southern Association,,morris/RHDHFKM,,,,morris/1915SouthAtlantic/ColumbiaState/223,,player,,,,,Hudnall,,,,
,Augusta,1915,,South Atlantic League,,morris/RHDHFKM,,,,morris/1915SouthAtlantic/ColumbiaState/223,,player,,,,,Hudnall,,,,
,Monessen,1934,,Pennsylvania State Association,,blau/FBLKPVC,,,,blau/blau-20170521,,player,,Carl,,,Huffman,,,,
,Zanesville,1935,,Middle Atlantic League,,blau/FBLKPVC,,,,blau/blau-20170521,,player,,Carl,,,Huffman,,,,
,Williamsport,1926,,New York-Pennsylvania League,,blau/HLYCSZD,,,,blau/blau-20171223,,player,,Henry,,,Huffman,,,,
